number,count,frequency,posterior_mean,recency_score,markov_repeat_prob,current_streak,longest_streak,heuristic_score,rank
42,7,0.011784511784511785,0.013422818791946308,0.021268183598952644,0.0,0,1,0.013074555964150632,27
68,6,0.010101010101010102,0.01174496644295302,0.022976585441179476,0.0,0,1,0.012916050718255946,28
44,5,0.008417508417508417,0.010067114093959731,0.02476478491321058,0.0,0,1,0.012785474642792753,29
55,8,0.013468013468013467,0.015100671140939598,0.017142175070189246,0.0,0,1,0.012386898869757523,30
13,3,0.005050505050505051,0.006711409395973154,0.027867466368021034,0.0,0,1,0.012358521370628255,31
39,9,0.015151515151515152,0.016778523489932886,0.012857245521701841,0.0,0,1,0.01164361941846101,32
65,6,0.010101010101010102,0.01174496644295302,0.01869745308558851,0.0,0,1,0.01141835439379911,33
10,6,0.010101010101010102,0.01174496644295302,0.016387070073517196,0.0,0,1,0.01060972033957415,34
66,6,0.010101010101010102,0.01174496644295302,0.01622876768312584,0.0,0,1,0.010554314502937173,35
74,7,0.011784511784511785,0.013422818791946308,0.01399847184339166,0.0,0,1,0.010530156849704288,36
14,3,0.005050505050505051,0.006711409395973154,0.02228669924529525,0.0,0,1,0.01040525287767423,37
11,9,0.015151515151515152,0.016778523489932886,0.008974713980376553,0.0,0,1,0.010284733378997159,38
67,6,0.010101010101010102,0.01174496644295302,0.01486822572016054,0.0,0,1,0.010078124815899318,39
5,7,0.011784511784511785,0.013422818791946308,0.012128425031341684,0.0,0,1,0.009875640465486798,40
38,6,0.010101010101010102,0.01174496644295302,0.012263791537997046,0.0,0,1,0.009166572852142094,41
35,6,0.010101010101010102,0.01174496644295302,0.012090805119494721,0.0,0,1,0.00910602760566628,42
43,9,0.015151515151515152,0.016778523489932886,0.005206859796488979,0.0,0,1,0.008965984414636509,43
58,6,0.010101010101010102,0.01174496644295302,0.010182539368574443,0.0,0,1,0.008438134592844183,44
92,7,0.011784511784511785,0.013422818791946308,0.007749304721399066,0.0,0,1,0.008342948357006882,45
20,6,0.010101010101010102,0.01174496644295302,0.009734531874819114,0.0,0,1,0.00828133197002982,46
90,6,0.010101010101010102,0.01174496644295302,0.008753924223984456,0.0,0,1,0.00793811929223769,47
7,5,0.008417508417508417,0.010067114093959731,0.01085332457027562,0.0,0,1,0.007916463522765517,48
